contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,optionType
SPY250721C00614000,2025-07-18,614.0,13.22,13.6,13.73,-1.0299997,-7.2280684,16.0,45,0.247077841796875,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00615000,2025-07-18,615.0,12.67,12.61,12.74,-0.84000015,-6.2176175,74.0,105,0.23535920898437498,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00616000,2025-07-18,616.0,11.72,11.62,11.75,-0.009999275,-0.08524532,12.0,78,0.22266402343749997,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00617000,2025-07-18,617.0,10.66,10.64,10.76,-1.0200005,-8.732881,1594.0,105,0.20996883789062498,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00618000,2025-07-18,618.0,9.75,9.66,9.78,-0.8199997,-7.7578025,567.0,136,0.19873848144531248,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00619000,2025-07-18,619.0,8.73,8.67,8.8,-1.1100006,-11.280494,362.0,347,0.1870198486328125,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00620000,2025-07-18,620.0,7.72,7.72,7.83,-1.0300002,-11.771431,682.0,1211,0.1757894921875,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00621000,2025-07-18,621.0,6.83,6.77,6.88,-0.97000027,-12.435901,702.0,807,0.16651224121093755,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00622000,2025-07-18,622.0,5.95,5.83,5.92,-1.02,-14.634146,391.0,793,0.1538170556640625,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00623000,2025-07-18,623.0,4.9,4.92,5.0,-1.1300001,-18.739635,1589.0,745,0.14478394287109375,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00624000,2025-07-18,624.0,4.06,4.04,4.1,-1.1399999,-21.923075,4348.0,2539,0.13477427734375003,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00625000,2025-07-18,625.0,3.19,3.2,3.26,-1.19,-27.168951,10005.0,3682,0.12696185546875,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00626000,2025-07-18,626.0,2.45,2.43,2.47,-1.23,-33.423912,18729.0,2121,0.1186611572265625,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00627000,2025-07-18,627.0,1.77,1.75,1.76,-1.28,-41.967213,65591.0,1717,0.11084873535156249,True,REGULAR,USD,2025-07-21,CALL
SPY250721C00628000,2025-07-18,628.0,1.17,1.17,1.18,-1.18,-50.212765,110558.0,2551,0.10523355712890625,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00629000,2025-07-18,629.0,0.72,0.72,0.74,-1.0899999,-60.220993,65720.0,5086,0.10144941528320311,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00630000,2025-07-18,630.0,0.42,0.42,0.43,-0.93000007,-68.88889,52004.0,4632,0.098641826171875,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00631000,2025-07-18,631.0,0.23,0.23,0.24,-0.72999996,-76.041664,26701.0,1816,0.09790941162109376,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00632000,2025-07-18,632.0,0.11,0.11,0.12,-0.56,-83.582085,22017.0,2941,0.09668872070312501,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00633000,2025-07-18,633.0,0.05,0.05,0.06,-0.36999997,-88.09524,19052.0,1368,0.0971769970703125,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00634000,2025-07-18,634.0,0.03,0.02,0.03,-0.24000001,-88.88889,10792.0,1978,0.098641826171875,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00635000,2025-07-18,635.0,0.01,0.01,0.02,-0.16,-94.117645,10035.0,3592,0.1054776953125,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00636000,2025-07-18,636.0,0.02,0.01,0.02,-0.08,-80.0,11188.0,860,0.117196328125,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00637000,2025-07-18,637.0,0.01,0.0,0.01,-0.049999997,-83.333336,1521.0,2463,0.117196328125,False,REGULAR,USD,2025-07-21,CALL
